,movieId,viewers,recommand,v_check,wilson_lb
8557,67,20,2,20,0.09988844130711626
3341,68,2765,2075,2765,0.7502910411196679
1288,69,347,123,347,0.3542889097980133
353,70,30236,16662,30236,0.5508798979057807
3275,71,8102,4539,8102,0.5600473644034937
3317,72,2184,965,2184,0.4416650638260584
1779,73,114,42,114,0.36824160424100744
1659,74,4005,2830,4005,0.7064473028954955
5073,75,246,110,246,0.44696949736263036
1682,76,487,122,487,0.2503521704360125
7696,77,505,346,505,0.6849756895817076
3400,78,10857,3663,10857,0.3372101303762319
1088,79,1984,1399,1984,0.7049714549868697
5069,80,173,30,173,0.17326959226920785
1771,81,171,18,171,0.10514903425102648
2103,82,6137,4734,6137,0.7712303962454522
5016,83,932,207,932,0.22194839776026912
8752,84,22,7,22,0.31800855491657004
2045,85,255,100,255,0.3919752327471742
1443,86,3313,1282,3313,0.3867792673749002
3709,87,1366,172,1366,0.12579170441167706
1167,88,1686,440,1686,0.26080935960291807
1758,89,1837,810,1837,0.4407515964161984
7738,90,201,71,201,0.35305602223912275
2249,92,4805,3139,4805,0.6531007474782934
2420,93,1718,449,1718,0.2611869741096751
1489,94,147,36,147,0.24473800442950225
157,95,2478,1061,2478,0.4279837935681223
5477,96,568,55,568,0.09672101723603048
2036,97,1436,207,1436,0.14401978853427697
10763,98,492,31,492,0.06291779151149371
4480,99,413,84,413,0.20324011524605357
1473,100,128,59,128,0.4607520505630546
1353,101,131,66,131,0.503630775373695
2462,102,1118,304,1118,0.2717486232465145
3518,103,6786,2874,6786,0.4233351860105645
202,104,9299,2511,9299,0.269863887908004
583,105,64258,43882,64258,0.6827301404740169
9306,106,3,1,3,0.33315797184765045
864,107,6101,855,6101,0.14001186048892794
9398,108,28,8,28,0.28554624175075455
18964,109,8,4,8,0.4998139765888565
8,110,4449,1141,4449,0.2562996946712996
92,111,4383,2132,4383,0.4862388702238241
463,112,806,373,806,0.4625936542148475
3619,113,746,81,746,0.10846339501005585
7373,114,1920,611,1920,0.3180558965193724
13112,115,147,44,147,0.2991493730769591
3840,116,1671,847,1671,0.5066960997815145
3347,117,5824,4683,5824,0.8039388301522349
3572,118,346,44,346,0.1270437302900283
7208,119,538,67,538,0.124412521334871
8734,120,4,1,4,0.2498389336012441
4232,121,4506,2919,4506,0.6476251989445798
1579,122,2599,1582,2599,0.6085140625528723
2022,123,12327,4902,12327,0.39748159390622007
6612,124,1035,568,1035,0.5486071282116376
1691,125,538,114,538,0.21174391316915578
3047,126,260,152,260,0.5844320326087253
13094,127,15,4,15,0.2665021736660294
11261,128,6,2,6,0.33315797184765045
8155,129,630,334,630,0.5299730412761682
13623,130,12,4,12,0.33315797184765045
8188,131,85,10,85,0.1175272420678634
2401,132,7285,2043,7285,0.2802721605548995
17815,133,6,1,6,0.1665280591343614
14709,134,76,35,76,0.4603408784611158
908,135,100,51,100,0.5098140124130665
10192,136,64,22,64,0.3435733146846737
7534,137,26,2,26,0.07682399639082814
9091,138,23,3,23,0.13030953539245638
13513,139,8,2,8,0.2498389336012441
1208,140,9937,6931,9937,0.6973232890849342
153,141,1321,590,1321,0.4464463865743604
13987,142,13,2,13,0.15371196680730442
19626,143,8,0,8,0.0
1422,144,3884,1540,3884,0.39631647532902226
374,145,2415,681,2415,0.2818201989047396
4975,146,8,0,8,0.0
1324,147,4338,2908,4338,0.6701800853832988
6347,148,38,18,38,0.4734984485865672
3659,149,139,63,139,0.4530522084899979
20,150,25699,13376,25699,0.5203013084652168
452,151,1011,664,1011,0.6565988056223596
4689,152,825,441,825,0.5343598708800094
62,153,2744,959,2744,0.3493124215334897
1835,154,11088,3761,11088,0.3390194084849732
3336,155,7265,4704,7265,0.6473101892952375
2802,156,127,9,127,0.0707707334849679
2078,157,12426,5917,12426,0.4759931706796522
351,158,11784,1102,11784,0.09340836565579161
2240,159,26995,20971,26995,0.7766926207230395
346,160,16960,7449,16960,0.43902527065726116
150,161,708,237,708,0.33457021612668986
1052,162,33411,18725,33411,0.5602594975920863
304,163,7958,5589,7958,0.7021419954713716
1442,164,536,246,536,0.45876983398770194
51,165,10398,5295,10398,0.5090465517469634
4573,166,53,14,53,0.26398694801562544
11101,167,36,20,36,0.5553706763131389
442,168,3991,2755,3991,0.6901311330573592
1587,169,9343,1273,9343,0.13612415683235615
739,170,44,15,44,0.34073275720842083
3140,171,6,5,6,0.8331946335218028
404,172,712,285,712,0.4000986264025737
308,173,86,20,86,0.23240100059231986
2390,174,3601,1517,3601,0.4210881768743986
1190,175,2003,1294,2003,0.6458530206733337
2236,176,1947,542,1947,0.27821026952898426
2283,177,3421,733,3421,0.21411221935051014
5452,178,946,221,946,0.23345783461642666
3425,179,257,108,257,0.4200498331439084
712,180,10633,2987,10633,0.28075071193048784
1954,181,466,206,466,0.4418753236405073
4663,182,286,34,286,0.11876075920067446
4929,183,77,33,77,0.4283873230299386
6549,184,811,147,811,0.18111442647270154
140,185,43,17,43,0.39516694851977385
478,186,2843,1277,2843,0.44898835561568134
3960,187,360,78,360,0.21651343242280585
2116,188,88,32,88,0.36345741098923845
6610,189,41,2,41,0.04870040807768664
3861,190,53,14,53,0.26398694801562544
2685,191,11558,3775,11558,0.3264391444651187
10976,192,581,128,581,0.2201556525126447
786,193,7104,2879,7104,0.4050819989001977
1075,194,40328,23621,40328,0.585538797968056
1802,195,4569,2607,4569,0.5704002026890472
371,196,262,96,262,0.366232971167029
10044,197,321,179,321,0.5574476072482623
691,198,384,89,384,0.23161388031340618
2867,199,2037,1221,2037,0.5992285750427597
6487,200,461,42,461,0.0909992869869488
6244,201,57,28,57,0.4910420766084896
5679,202,295,98,295,0.33202817769948173
1148,203,3441,2058,3441,0.5978995301590929
754,204,315,152,315,0.4823537750031534
3253,205,707,394,707,0.5570994934190994
3814,206,497,146,497,0.29359314243868245
1149,207,11452,8795,11452,0.7678310401323487
105,208,8122,2871,8122,0.3533065262217978
4451,209,4109,1239,4109,0.30136250613682025
5535,210,572,251,572,0.4386265720939092
5054,211,22,3,22,0.1362360097828179
5651,212,309,91,309,0.29432882507498004
2543,213,116,67,116,0.5774024259722202
3888,214,4237,784,4237,0.18489215016210703
968,215,3371,1679,3371,0.497885767025742
631,216,613,226,613,0.3684991551513394
3793,217,220,89,220,0.4043628657409162
1477,218,22,3,22,0.1362360097828179
4731,219,658,298,658,0.45270234873420795
6858,220,125,52,125,0.415816632167297
1094,222,263,146,263,0.5549481831582791
142,223,4675,2285,4675,0.4885840785445975
771,224,17388,3075,17388,0.1767041953301017
462,225,15391,3597,15391,0.2335506020633832
13475,226,15,5,15,0.33315797184765045
1375,227,14060,8094,14060,0.5754917847735295
5627,228,59,26,59,0.4404932648131851
2202,229,262,53,262,0.20214066359288055
894,230,4748,3501,4748,0.73719934195199
66,231,176,76,176,0.43163390551688213
1055,232,7891,5123,7891,0.6490430644897529
1703,233,3357,708,3357,0.2107508553441446
1808,234,117,23,117,0.19643338235973754
292,235,479,98,479,0.2044428576518982
451,236,10071,1505,10071,0.14930638935979412
1025,237,537,211,537,0.3927419570233853
4188,238,427,178,427,0.41667840439012166
1602,239,104,43,104,0.41327833443624906
4218,240,347,250,347,0.7202941001378764
5100,241,69,31,69,0.44909030567694946
3672,242,15,3,15,0.1998512227909431
5652,243,22,2,22,0.09080219157865717
6888,244,464,118,464,0.25414836254622203
7226,245,28,4,28,0.14272700301519542
575,246,1969,1426,1969,0.7240591950295711
838,247,119,50,119,0.41998444127832973
1843,248,200,80,200,0.3998177488663529
1283,249,355,177,355,0.49840552681763045
3812,250,11,1,11,0.09080219157865717
6119,251,161,55,161,0.3414384851175686
604,252,8702,3794,8702,0.4358072420832596
106,253,136,43,136,0.316003500695556
4882,254,255,120,255,0.47040253807277443
3684,255,361,31,361,0.08576839496986166
558,256,364,174,364,0.4778361374509326
1603,257,1328,724,1328,0.5449954542414267
2725,258,1711,1122,1711,0.6555800785749314
2496,259,9461,5388,9461,0.5693115975610907
5,260,28683,18058,28683,0.6293918366093666
537,261,39441,29371,39441,0.7445196688576371
1339,262,18415,7921,18415,0.42995428510267947
6091,263,4,0,4,0.0
8573,264,9,0,9,0.0
507,265,1726,539,1726,0.31211034503125434
279,266,12425,5346,12425,0.4300773739755751
1441,267,2010,784,2010,0.38986829647515886
4524,268,690,89,690,0.1288608544866826
5024,269,206,131,206,0.6357432932992795
3277,270,9001,5340,9001,0.5930846434282201
3345,271,298,32,298,0.1072674193458194
833,272,2175,1251,2175,0.5749884943893346
835,273,268,143,268,0.5333964815452069
3386,274,137,41,137,0.29909972628194037
2949,275,2691,2014,2691,0.7482591882563605
1194,276,23154,14124,23154,0.6098211105215369
584,277,51877,30658,51877,0.5907918749160607
3564,278,3907,2434,3907,0.6228040616196016
4021,279,48,23,48,0.47898080768802936
1265,280,11877,8353,11877,0.7031220955130656
1573,281,2858,1040,2858,0.36371185325720257
521,282,181,75,181,0.4141813780068921
7451,283,11,3,11,0.2725616087512901
14287,284,19,2,19,0.10514903425102648
10871,285,195,69,195,0.3536682753625058
10005,286,15,5,15,0.33315797184765045
6683,287,131,51,131,0.38913158444060775
147,288,1140,677,1140,0.5936769197101512
1796,289,266,129,266,0.48477646883506437
1515,290,7688,3308,7688,0.43009676087663723
4672,291,405,126,405,0.31093889886759324
118,292,168,38,168,0.22603486313032822
73,293,3833,1438,3833,0.37498294289004186
4221,294,28,3,28,0.10702783936615988
5675,295,229,37,229,0.16143516451366519
2,296,15585,5090,15585,0.32642163188796613
7200,297,541,329,541,0.6079514508446165
7348,298,180,111,180,0.6164857619455522
2094,299,672,233,672,0.34654914431667233
206,300,31310,6915,31310,0.22070166140238728
5633,301,228,59,228,0.25860902156133697
2900,302,17133,7008,17133,0.40885228885811087
892,303,6378,4632,6378,0.7260805512065114
4547,304,7354,4333,7354,0.5890201033782214
1734,305,90,35,90,0.38870753217832943
829,306,181,111,181,0.6130784647874176
887,307,22264,18121,22264,0.8137700051804679
1147,308,177,18,177,0.10158252045441098
5721,309,53,15,53,0.2828513036893549
7265,310,1251,275,1251,0.21967010468798917
11014,311,39,16,39,0.4100734202291181
3285,312,367,168,367,0.45758031483208134
3133,313,2451,914,2451,0.3727291205836718
1511,314,11569,1133,11569,0.0978236081350291
515,315,5904,524,5904,0.08864763899445012
72,316,3436,2199,3436,0.6398097554404875
284,317,334,117,334,0.35012193190098634
0,318,68469,44891,68469,0.655462975573057
860,319,330,73,330,0.22105773691553743
6685,320,1095,81,1095,0.07387528725338555
4014,321,51,21,51,0.4115816141517216
1894,322,1472,219,1472,0.14864482270370738
5617,324,123,31,123,0.2518710194170558
3731,325,683,439,683,0.6425742618720888
3107,326,10,4,10,0.3998177488663529
830,327,75,32,75,0.42648266506817617
2166,328,412,154,412,0.37360642602737376
111,329,1158,332,1158,0.28653299120214865
2965,330,1334,396,1334,0.2966816250866291
5153,331,87,23,87,0.2642037775434065
2347,332,7900,2926,7900,0.370200100985309
481,333,15516,2853,15516,0.18373062949194213
2882,334,928,530,928,0.5709365478851991
6070,335,114,20,114,0.1752971364462882
6844,336,21,7,21,0.33315797184765045
246,337,5232,2928,5232,0.5594483236308277
1359,338,1735,645,1735,0.3715781421850215
155,339,2768,590,2768,0.2129979632820978
3072,340,394,208,394,0.5277330446716223
6071,341,122,26,122,0.21296243762904946
460,342,3387,772,3387,0.22777428678953449
3905,343,2736,859,2736,0.31378934670296826
38,344,29422,13007,29422,0.4418993914699326
551,345,17382,10784,17382,0.6202313551825526
3604,346,421,55,421,0.1305159986474696
2816,347,2018,795,2018,0.39377263362878345
818,348,1562,320,1562,0.20471543848266494
83,349,167,81,167,0.4848440021761318
315,350,97999,85088,97999,0.8681278750107804
1634,351,126,29,126,0.23000216023483988
3228,352,36,12,36,0.33315797184765045
280,353,249,76,249,0.30504958258978687
3418,354,3445,2285,3445,0.6631042685709668
552,355,1304,955,1304,0.7321972155471094
1,356,27143,9232,27143,0.3399482903042915
110,357,13417,5647,13417,0.4207002842662203
2305,358,3536,954,3536,0.26963127751518334
7075,359,60,12,60,0.1998512227909431
2421,360,4764,1231,4764,0.258233474466507
1227,361,2238,1041,2238,0.46496188697172913
775,362,22507,5452,22507,0.24207638622099253
4850,363,720,306,720,0.42481609163947065
35,364,23955,16241,23955,0.677805681178712
2591,365,2203,781,2203,0.354338613691813
1980,366,87,31,87,0.3561436813250651
60,367,2465,975,2465,0.39535562162748344
262,368,12650,8660,12650,0.6844120716144918
3643,369,1656,1066,1656,0.6435416138757412
316,370,8191,4916,8191,0.5999886534524044
1481,371,30,6,30,0.1998512227909431
764,372,33,9,33,0.2725616087512901
1694,373,3193,275,3193,0.08602157999167907
1129,374,186,84,186,0.45142775963866455
7316,375,9,2,9,0.22206758602924984
471,376,10352,7119,10352,0.6875207541760033
37,377,712,211,712,0.2961784489286268
2279,378,2734,1096,2734,0.4006955170579648
1050,379,68,21,68,0.3086516671974339
33,380,35903,19560,35903,0.544615988736357
1207,381,17906,14013,17906,0.782433339184016
1141,382,206,99,206,0.4803966438772807
1241,383,7824,5665,7824,0.7238878601457106
4390,384,266,141,266,0.5298894972233544
9379,385,19,5,19,0.26299409767265186
6293,386,185,113,185,0.6106293979536077
4577,387,117,43,117,0.3673420108945876
5195,388,5046,3848,5046,0.7624258831722427
7978,389,253,88,253,0.34764890937812376
4109,390,28,3,28,0.10702783936615988
5883,391,419,121,419,0.2886142350494094
7044,392,1509,666,1509,0.4411671574994564
2210,393,12974,4409,12974,0.339657314439122
9240,394,12,5,12,0.41648325664423236
18788,395,22,0,22,0.0
14835,396,43,18,43,0.41842112045400764
10290,397,139,62,139,0.445858235851695
12595,398,43,18,43,0.41842112045400764
21990,399,9,4,9,0.4442595805818986
15143,400,4,0,4,0.0
17752,401,9,3,9,0.33315797184765045
12072,402,271,55,271,0.20280243448054985
18906,403,2,2,2,0.9999998615811622
10771,404,3927,1477,3927,0.3759338762378074
1644,405,794,164,794,0.20639854363058588
11914,406,7867,3433,7867,0.43619531182435334
2468,407,321,42,321,0.1307157085301667
4680,408,741,16,741,0.021538432348655562
5614,409,829,371,829,0.4473421522161119
227,410,7873,4129,7873,0.5242648498943303
9727,411,187,105,187,0.5613127066932123
1376,412,7159,2131,7159,0.2974971881084279
991,413,2766,780,2766,0.2818282814118981
4070,414,40,8,40,0.1998512227909431
1828,415,8917,1655,8917,0.1854559359677924
2704,416,1471,381,1471,0.25884452137182745
1792,417,1089,477,1089,0.43783194901373695
4685,418,143,59,143,0.412404266130582
1299,419,292,28,292,0.09578092108204783
335,420,25959,12045,25959,0.4638153888809558
2637,421,9269,1750,9269,0.18865582320894467
3127,422,2113,1036,2113,0.49011216723728535
2254,423,5204,480,5204,0.09212914198196445
4378,424,88,15,88,0.1703146896861081
4130,425,9796,5513,9796,0.5625961669442363
1772,426,439,116,439,0.26407288955356156
1741,427,72,19,72,0.2637249457376699
1204,428,8790,6069,8790,0.6902716584092723
2987,429,182,79,182,0.4338815442737529
7104,430,1065,737,1065,0.691846994095999
623,431,237,98,237,0.41331890302185376
429,432,1281,265,1281,0.20671897193052408
3409,433,3436,2308,3436,0.6715365587794397
130,434,2210,413,2210,0.18673284254419065
365,435,1146,464,1146,0.40470394846680424
3328,436,826,591,826,0.7153284789784281
2648,437,321,48,321,0.14940008212911954
3716,438,194,57,194,0.29364499123398985
12136,439,11,4,11,0.36345741098923845
234,440,6767,2285,6767,0.33749217120931835
701,441,147,69,147,0.46920208490412185
226,442,2545,1297,2545,0.5094407287954658
4996,443,54,27,54,0.4998139765888565
3294,444,8,2,8,0.2498389336012441
2565,445,200,43,200,0.21484719429591193
1610,446,1149,256,1149,0.22264765661384694
7711,447,457,325,457,0.7109910878139729
1899,448,8205,4270,8205,0.5202285103518671
4675,449,1134,216,1134,0.1903301391856472
1915,450,1166,85,1166,0.07280213728531416
4856,451,1440,502,1440,0.34843384037277947
3495,452,88,42,88,0.4770868992797509
3950,453,412,200,412,0.485250950730487
129,454,198,79,198,0.39880772511064777
678,455,87,37,87,0.4251034317333075
3906,456,4056,951,4056,0.2343098689634726
21,457,11136,4227,11136,0.3793992102899418
3754,458,464,135,464,0.29077932123747
3533,459,21073,5618,21073,0.2664325880118971
4026,460,224,144,224,0.6426788540850452
4082,461,267,134,267,0.5016866368103928
8017,462,96,45,96,0.46856434459687596
5936,463,23,1,23,0.04340245210930038
1799,464,9913,1243,9913,0.12526774504854993
4478,465,1313,335,1313,0.25497874235935153
369,466,3676,2331,3676,0.6339339411656258
4385,467,380,193,380,0.5077087355281377
865,468,1202,303,1202,0.2519183559147885
3265,469,125,36,125,0.28783155497255664
5488,470,531,57,531,0.10722951967601654
528,471,6429,2059,6429,0.3200939732508464
4556,472,62,10,62,0.1611535311842335
3128,473,436,174,436,0.39890038780687376
233,474,13649,5047,13649,0.36959109438177745
656,475,333,92,333,0.2761099446019607
7529,476,57,15,57,0.26299409767265186
1398,477,1456,308,1456,0.21138655782153293
7055,478,23,2,23,0.08685174676684668
3419,479,3757,2559,3757,0.6809551465808551
6,480,15301,6195,15301,0.4046928856447738
1145,481,216,47,216,0.21743912186972217
2039,482,2908,566,2908,0.194488229854111
4998,483,1977,236,1977,0.11925221222831964
4417,484,198,31,198,0.1564305057138403
364,485,18954,7935,18954,0.4184616076681667
4912,486,362,199,362,0.5495386487656571
4862,487,722,226,722,0.3128468901013407
5132,488,76,27,76,0.3550851189281929
1874,489,8065,4716,8065,0.5845655715772333
1824,490,12173,6931,12173,0.5691906122710743
1169,491,42181,34133,42181,0.8090569648725549
1790,492,3360,1997,3360,0.5941625432354759
1590,493,720,139,720,0.1929087525609674
402,494,69,23,69,0.33315797184765045
4479,495,205,60,205,0.292513676414304
5986,496,107,20,107,0.18677089096202443
372,497,13206,4595,13206,0.34777071039940244
6100,498,80,32,80,0.3998177488663529
6004,499,103,29,103,0.28138609774454254
64,500,5837,898,5837,0.15371196680730442
2460,501,135,51,135,0.3775974146202872
1512,502,224,98,224,0.43731544426950414
9197,503,9,3,9,0.33315797184765045
3532,504,366,178,366,0.48615284574150563
3272,505,2361,1267,2361,0.5364514897899735
3185,506,4093,2320,4093,0.5666370384443435
1746,507,444,17,444,0.038216959597381014
197,508,1690,1063,1690,0.6288143388232166
265,509,757,289,757,0.38158941364686005
4060,510,966,210,966,0.21723788493668736
2828,511,235,92,235,0.39130778682971346
3357,512,638,211,638,0.3305459886679874
5071,513,24,7,24,0.29149758918157037
1365,514,13880,7402,13880,0.5330996872277407
566,515,210,124,210,0.5902932254417941
1719,516,5638,1958,5638,0.3471091585175979
1685,517,99,40,99,0.4038578519505426
3395,518,2706,581,2706,0.21455532591574628
1168,519,1224,839,1224,0.6852847368998835
306,520,468,268,468,0.5724655133054082
2367,521,791,151,791,0.19075142318166677
3269,522,4459,1556,4459,0.3487798536468903
4045,523,119,9,119,0.07553193956378024
756,524,142,81,142,0.5702383563987062
8460,525,5,0,5,0.0
9246,526,12,7,12,0.5831499002410927
7,527,1539,460,1539,0.29872510112793205
4039,528,1939,344,1939,0.177268953356882
559,529,355,35,355,0.0984806929155776
14581,530,24,5,24,0.20818227937245617
762,531,162,44,162,0.2714394882006379
1072,532,13547,7746,13547,0.5716030054754264
1567,533,754,315,754,0.41758840408342024
1331,534,1821,1379,1821,0.7571166788088824
1163,535,1234,734,1234,0.5946309529064114
4436,536,69,16,69,0.23172707816587032
1729,537,9155,3223,9155,0.35187038878800514
1253,538,4881,3597,4881,0.7367753085934797
102,539,22247,9621,22247,0.4322784947296186
1266,540,3711,2163,3711,0.5826782997316735
57,541,13388,9374,13388,0.7000087731536996
1651,542,29,3,29,0.10333502630570844
407,543,124,37,124,0.2982168945599505
2327,544,6056,1581,6056,0.2609000329316347
12572,545,26,10,26,0.38443439822382985
1069,546,6138,1350,6138,0.219787283464838
4208,547,72,29,72,0.4025953183533368
1970,548,5354,402,5354,0.07498606375640264
3106,549,157,93,157,0.5921738527126733
1757,550,610,56,610,0.09169590738112389
177,551,1272,248,1272,0.19482119946846932
382,552,381,87,381,0.22819032130387368
333,553,19633,11802,19633,0.6009485566540709
5338,554,420,240,420,0.5712444461129617
299,555,1664,993,1664,0.5965722870320489
3365,556,676,157,676,0.23209145479271465
2841,558,3869,1746,3869,0.4510942689270811
12791,559,39,21,39,0.5382760609082061
14213,560,6,0,6,0.0
7667,561,35,4,35,0.11416739800445777
989,562,828,344,828,0.41527560386007983
6429,563,1652,608,1652,0.3678593314415683
6499,564,11,1,11,0.09080219157865717
4171,565,1377,166,1377,0.12043083636967113
8953,566,7,1,7,0.14272700301519542
5960,567,2769,600,2769,0.21653148486050497
6181,568,457,159,457,0.3477440364860862
2796,569,9427,3369,9427,0.3571994694881723
7698,570,50,28,50,0.5598153125088587
8019,571,53,6,53,0.11308971902584633
14618,572,20,14,20,0.6998294790414651
7896,573,256,64,256,0.2498389336012441
3180,574,1722,1081,1722,0.6275785544657959
1902,575,1129,194,1129,0.1716931770487673
16631,576,33,5,33,0.15138180224731634
4789,577,119,50,119,0.41998444127832973
14140,579,160,69,160,0.43106575299864885
5075,580,243,31,243,0.12744794847670513
2590,581,104,49,104,0.47096813657392356
9266,582,31,17,31,0.5482019397916801
7162,583,18,2,18,0.11099424189228674
15800,584,16,5,16,0.3123275776340434
591,585,38504,16582,38504,0.4304723390283843
93,586,25847,7509,25847,0.29034839406387586
97,587,769,309,769,0.4016381578291249
32,588,72,23,72,0.3192709983634162
13,589,6838,3089,6838,0.45155512672795595
31,590,54846,36388,54846,0.6632818567829653
14853,591,85,34,85,0.3998177488663529
28,592,10024,6852,10024,0.6833863977488588
3,593,2989,780,2989,0.2607934880841939
225,594,487,97,487,0.19903009734638338
46,595,55240,41391,55240,0.7491327029853204
352,596,97040,70471,97040,0.7260397596413973
63,597,2192,413,2192,0.1882669662688924
8625,598,56,12,56,0.2141330933803973
1718,599,574,156,574,0.27161152053326676
6833,600,3518,1246,3518,0.3540005942394365
9826,601,1677,517,1677,0.3081168309601519
6488,602,148,30,148,0.20255317625195762
4962,603,71,17,71,0.2392778886521222
21861,604,66,14,66,0.21196915541715147
1641,605,1215,701,1215,0.5767709149243281
2978,606,492,67,492,0.13605130811643196
17059,607,2,1,2,0.4998139765888565
27,608,3424,2518,3424,0.7352330458302176
2019,609,1434,690,1434,0.4809856592535391
807,610,38,14,38,0.36824160424100744
2618,611,40,11,40,0.2748339069232743
2874,612,65678,52447,65678,0.7983981949739797
2002,613,9843,4311,9843,0.43779164872769427
8719,614,62,20,62,0.3224067513090606
4827,615,72,25,72,0.347045116666284
681,616,37,12,37,0.32415018539647794
5157,617,36,7,36,0.1942972408646083
6314,618,297,157,297,0.5284338062320232
4440,619,296,119,296,0.40184462329665704
14048,620,2743,1179,2743,0.4296371912335406
6616,621,326,44,326,0.13484225069214134
13742,623,7,1,7,0.14272700301519542
12713,624,911,268,911,0.2940127136660907
15407,625,38,16,38,0.4208689525823573
4767,626,561,161,561,0.28681925426120664
2603,627,6870,2083,6870,0.3030313478963934
488,628,3410,1959,3410,0.5743028456004107
15993,629,18,9,18,0.4998139765888565
7598,630,381,147,381,0.38564567879548806
2154,631,619,436,619,0.7041920699182407
6117,632,656,227,656,0.34585962213461824
6533,633,195,29,195,0.1485856192673107
6396,634,71,21,71,0.2956048776336837
3612,635,11155,5414,11155,0.4851569541244543
14307,636,16,7,16,0.43731544426950414
1000,637,7225,3496,7225,0.48368950810469985
5036,638,144,60,144,0.41648325664423236
3514,639,582,321,582,0.5513613523866915
1797,640,351,184,351,0.5240307157645843
10312,641,75,21,75,0.2798329818404685
21074,642,6,1,6,0.1665280591343614
16289,643,1,0,1,0.0
18038,644,4,0,4,0.0
6772,645,1442,682,1442,0.47276848291005497
805,647,67,23,67,0.3431069540201839
39,648,945,535,945,0.5659531681519037
9125,649,9,2,9,0.22206758602924984
3113,650,314,145,314,0.46159796554147897
12932,651,13,4,13,0.3075206203912732
11173,652,45,12,45,0.2665021736660294
320,653,488,292,488,0.5981782537115621
18723,654,9,2,9,0.22206758602924984
18724,655,6,1,6,0.1665280591343614
3398,656,572,312,572,0.5452692860381144
14078,657,6,0,6,0.0
12903,658,75,23,75,0.30649513900000014
5588,659,565,235,565,0.4157458402077181
9458,660,88,53,88,0.6020906227851359
502,661,1432,730,1432,0.5095905471123252
1904,662,686,100,686,0.14564135660328065
1751,663,51,9,51,0.1763288013059125
6695,664,89,24,89,0.26949784455328546
3205,665,26,1,26,0.03839005485280947
8306,666,210,108,210,0.514099764840573
3593,667,5908,4238,5908,0.7171648692686187
4135,668,1969,500,1969,0.2537741045505986
4304,670,274,16,274,0.05830698144320121
955,671,133,43,133,0.3231342742201578
16328,672,520,143,520,0.2748339069232743
489,673,4052,2232,4052,0.5506540254535863
1722,674,72,32,72,0.4442595805818986
15736,675,51,25,51,0.49001009214068847
15752,676,11,0,11,0.0
2048,678,614,413,614,0.6724638294510367
10515,679,4554,2687,4554,0.5898477468173364
3375,680,77,5,77,0.0648434486153265
6458,681,754,297,754,0.393717432032039
